SubjID,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
sub-047,3521,4350,3204,4440,2728,3151,3923,6928,4007,4504,1877,3697,4100,6636,7441,8809,2520,5052,1825,1743,2850,3608,4385,2550,3688,2812,4079,4624,2062,3327,7308,13530,8143,3598,5454,1197,1690,8845,3053,2819,8104,2521,5596,5913,5909,9299,2778,3844,1999,4763,5171,6033,7535,6778,3374,3935,3980,4824,5140,2093,2596,3141,1268,4163,2427,6233,5391,2066,2948,5017,3341,5830,4248,2175,2557,6245,2169,4588,7157,16281,2291,3826,6378,3813,4111,4525,1676,3751,3559,3485,9247,4067,4400,3255,3736,5830,7146,5193,1929,4181,
sub-048,3231,4669,3977,4237,3223,3889,4757,5732,2801,5672,2245,4190,3926,7243,7018,11521,3377,5764,2012,2836,3066,4963,5280,3633,4232,3288,3851,4701,2063,3432,9161,12546,7641,3739,5884,1763,1791,9193,4521,4248,10140,3393,7170,6381,6042,9270,2941,2580,2221,5782,5286,6407,9510,7670,3836,5278,4222,3717,6507,2076,2745,2825,1502,4029,2106,6050,5132,2883,4651,4996,4919,4735,4376,3808,3348,6451,2763,4255,8666,15910,3614,3517,8685,5136,4997,3620,1984,3574,3321,3061,10838,5252,6098,4220,4107,7360,7813,4342,2047,3932,
sub-049,3486,5797,4049,4513,3054,3886,4271,6831,4409,6481,2377,5204,5221,7448,9191,13282,2881,7079,2296,2587,3034,5750,5980,4476,4978,3665,4494,6343,3132,4086,10347,14558,9864,4761,5848,2218,1870,11105,5111,4928,12471,3888,7381,8179,7790,13275,2996,4089,2485,6324,6805,6545,9656,6969,4512,5499,4914,4199,6724,2691,3178,3263,2278,5010,2456,7863,6377,3489,3565,6176,4366,5650,5280,3908,5302,8066,2902,6806,10160,20131,5068,4628,9275,5971,5787,3990,1932,5745,4614,5042,11051,4942,6383,4458,4411,7895,9252,4715,2590,4817,
sub-050,3188,4105,3685,4536,3550,3433,5040,4945,3210,5371,2057,4066,4139,6258,7860,9028,3432,4777,2077,2333,2989,4026,4907,3216,4180,3136,3959,5149,2131,3502,8893,14164,8068,4532,5101,1755,1594,8741,3519,3103,10313,3023,6498,7060,6873,9689,2957,4003,1802,4897,5301,6837,8441,7110,3435,3435,3346,4467,5679,2182,3239,3402,1497,3511,2028,6421,5803,2763,3724,5470,3550,4654,4129,4515,3252,7301,2469,4780,9201,17048,4271,5012,7895,4603,5507,3414,1526,4225,4062,5590,7358,4917,4789,3584,4138,7939,8902,3986,1645,3902,
sub-051,2779,5258,4239,4982,3388,3359,4774,5978,3959,5965,1989,4903,4331,5806,8189,9532,3236,5708,2075,2565,3379,5814,5373,3634,4003,3222,4242,6340,2208,3628,9768,13561,8098,4630,6650,2105,2022,11120,5258,4925,10750,3180,7515,7532,6728,10789,3790,4226,2295,6036,5681,7386,9731,6998,3809,4399,5105,4920,6401,2162,4039,3179,1382,4269,1847,6852,7244,2881,3133,5680,3568,7093,4440,4316,3486,6760,2445,5631,9087,18157,4086,3428,8474,4886,5224,5021,2427,5163,4195,3576,9947,5164,5947,4040,3749,7405,9442,5869,2003,4771,
sub-06,2798,3821,3426,4272,2928,3384,2987,5663,2879,4418,2022,3681,3418,6398,6493,8118,2463,5504,1454,2699,2565,4197,4765,3311,3841,3478,3390,4786,2220,2680,7716,12102,6849,3078,6256,1622,1819,7860,3371,2974,8566,2485,6889,5962,5622,8169,2971,2557,1790,4962,4567,5534,6736,6398,3892,3846,4489,3608,4695,1979,2688,2895,1355,3975,2149,6383,4880,2481,2412,5008,4078,5739,3334,2932,3209,6017,2641,4025,7599,13961,2593,3155,6887,3244,3960,3633,1928,3833,3476,2306,7720,4243,4614,3014,3040,5742,7006,3907,1698,3433,
sub-07,3249,3228,3172,3943,2520,3283,4456,5962,3331,5359,2472,4258,4637,6571,7553,9528,3866,6390,2139,2533,2795,4827,5903,2837,4373,3587,4703,4760,2091,3542,9912,14449,8790,4404,7149,1557,1831,10639,3730,3619,10004,3462,7753,7224,7248,10454,3559,4157,1775,6194,5723,5623,9334,6456,3669,3355,3372,3483,6106,2576,3113,3656,1622,4856,2110,6670,5780,3553,3575,4577,3949,5728,5351,3795,4381,7214,2582,4906,9794,17400,4963,3714,9587,4186,5296,5145,1734,4409,4232,3225,9514,4971,5171,4001,4143,7553,8775,5353,1576,4866,
sub-101,2754,4258,3653,4977,2767,4048,4103,5841,3838,5793,2320,4330,5115,6429,7528,10585,2814,6452,2363,2438,3403,6113,4782,3361,3934,3018,4605,5064,2240,3130,7717,11931,9339,4353,6333,1671,2108,8997,4623,3828,9416,2895,6957,6395,6826,10218,3671,3705,2116,5449,5655,6732,8053,6235,3218,3816,3621,5276,6549,2463,3044,3411,1732,5088,2218,7055,6310,2975,3118,4976,3486,6621,4829,4948,4448,6365,2593,5005,8904,15132,3878,4271,8033,4201,4720,4451,2060,4506,4236,4150,8825,4434,6591,3566,4055,7211,8446,4222,2158,4689,
sub-102,3131,4203,3661,4530,3458,3584,5482,6988,3363,5596,2097,4801,4699,7028,9306,11895,3028,5341,2022,2874,2575,5225,5346,3192,3915,3695,4489,5242,2233,4357,8564,12680,8768,4556,6346,1841,1844,8895,4425,4480,11350,3095,7299,6158,7197,11493,3150,4063,2146,6411,5802,6576,9960,6904,3330,4308,4874,4525,6164,2187,2838,3114,1526,4903,2410,9092,6994,3142,2243,4897,3635,6615,4330,4732,3915,7251,3513,6613,8811,14227,3719,4295,7998,4599,5215,4886,1768,4467,3647,4610,10718,4728,6068,3965,4298,6556,10227,4619,2302,4030,
sub-103,3658,3822,3522,4333,3104,3813,4388,5447,3002,4984,1808,3952,4497,6407,8441,9467,2323,6366,1221,2594,2842,3967,5150,2931,4039,2696,4806,6105,2045,4468,8827,14648,7820,6139,5495,1664,1848,8313,3668,3874,11936,2480,6536,6719,7024,10410,2729,4104,1868,4226,5519,6385,9901,7953,3737,3837,3527,3765,5660,2039,2903,4020,1685,4597,2861,7196,5741,2773,2745,5085,4214,6354,3852,3536,3449,5453,2509,4965,9766,16754,3392,3551,8523,5063,4569,4209,1753,4957,3515,4270,8586,5653,5142,3591,3670,8000,7557,3959,1873,3365,
sub-104,4038,4393,4066,5170,3579,2962,3918,6351,3308,5285,1897,3973,3915,5910,7567,10540,2609,6366,2206,2503,2321,4933,6104,2986,4159,3438,3627,5356,1979,4177,9112,13398,7132,4456,5531,1784,2117,9602,5668,5182,10313,2943,6762,6727,6566,10888,3046,3691,2118,6057,7262,6578,9447,8278,3422,3647,4657,4103,5574,1935,2904,2502,1275,4032,2065,6018,7251,2247,3460,4853,3623,5696,4523,4199,2684,6835,2519,5387,9359,15960,3404,4878,7358,4754,4215,3733,2201,4328,3864,5381,8923,4637,5429,3774,4261,6278,9723,4724,1937,5314,
sub-105,2619,3779,3205,4561,2144,2311,3398,5611,2496,5540,1924,3847,3382,6595,7860,8466,2448,5842,1883,2377,2703,3756,4453,3245,3879,3495,4324,5391,1917,3176,8626,12067,7007,3807,5459,1351,2051,7581,4095,3169,8721,3001,6199,6385,6111,8786,2881,3448,1663,5226,5882,6044,8409,6626,2570,3182,3744,4247,6216,2037,2465,2364,1556,4545,2373,7232,4334,2426,2340,3942,3426,4875,4293,4057,2880,6339,2672,4893,8474,14857,2842,2820,7415,4118,4562,3370,2206,4522,3195,3014,7019,4378,5394,3862,3692,6709,7717,4281,1550,3651,
sub-112,2690,4566,3310,4037,2207,2676,3213,5946,2906,6501,2068,3872,4393,4938,5830,6435,3819,5822,2447,2917,3282,5128,3700,4254,3419,2909,4602,4522,1846,2697,8025,12464,4864,4876,6059,1361,1601,8138,5166,3985,9323,2744,6846,6484,6535,9246,3344,2836,1861,5162,4179,5859,8132,6709,3010,2956,4263,3591,5252,2086,3326,2784,1079,3486,2395,5072,5282,3643,2699,5150,3713,7057,2955,3874,3513,5907,2391,4074,8223,15661,2468,3685,7282,5160,4461,4508,1816,4259,3498,3774,7255,4127,5552,3594,4051,6315,7924,3691,1829,4099,
sub-113,3085,3957,2492,4359,2255,2980,3716,5445,3087,5236,2005,3448,3375,6530,6506,7491,2058,5507,1504,2275,2126,4233,4666,2777,3306,2575,3821,3094,1867,2791,7487,11595,5113,3281,5440,1767,1439,6917,3108,3022,8353,2188,5608,5314,5255,7904,2379,2549,1713,4124,4180,5335,6246,5613,3140,3395,3354,4039,5168,1831,2672,2661,1213,3892,1950,6014,3793,2568,3010,4906,3523,5279,3769,3265,3078,5169,2349,3892,7933,13722,2809,2932,6637,3025,3681,3637,1620,3805,3849,2507,6442,3847,5021,3012,2971,5687,6762,3633,1540,3452,
sub-114,3016,4535,3661,4823,3562,5532,3494,6779,3852,5637,1847,4538,3505,5862,7150,9562,2315,5728,1368,2223,2153,5161,4942,3221,4204,3591,3020,5011,1647,3786,8793,15144,8897,3750,6056,1473,2118,8115,3997,3534,10422,2532,7159,6068,5234,8384,2360,2104,2289,5331,5439,6759,10485,9328,4434,5138,5068,4788,6202,2113,2864,2880,1637,4115,1954,5929,5659,2627,2988,4281,3213,4619,5050,3176,3760,5933,2306,4436,8567,18388,2953,2672,7322,4206,4115,3228,2048,3975,3999,3166,8709,4287,5486,3704,3650,7054,8267,4758,2275,4566,
sub-115,3456,4779,4958,4532,3143,4184,3618,7579,4583,5541,2196,4501,4088,6493,7438,9754,2966,6803,1628,2899,2649,5658,3651,3321,4496,4204,4469,5887,2288,2789,9376,13769,9365,4005,7642,1964,2797,9215,4334,3880,11358,3245,8729,8375,7863,10003,2777,2909,2331,5774,6171,7740,8916,6632,5105,5780,5247,4840,5941,2214,3484,3019,1419,3976,2423,7230,5992,3472,3584,6458,4535,7013,3860,3740,3805,6686,2228,5299,9835,17912,3668,4369,9444,5240,4816,4212,2091,4954,4407,3709,8782,4595,5342,3704,4133,8011,9393,4624,2407,5249,
sub-116,3122,4226,2975,4172,3257,3348,3592,7167,3702,6479,2355,5106,4450,5935,7988,9106,3001,7860,1389,2763,2321,4688,5478,4191,4588,3324,4922,5653,2152,3542,9722,14240,7883,5848,6679,1754,2001,10589,4421,3873,11701,3479,7513,6643,6778,9976,2661,3535,2104,6929,5358,6215,8239,8292,4382,5178,4087,4286,6841,2281,3006,2970,1572,4517,2716,7006,5665,2658,2696,5460,3777,6037,4950,4104,4229,6837,2469,6017,9086,19205,3657,4401,7461,4588,4348,3472,1944,4653,4605,5410,9349,4910,5735,4054,4590,6989,9131,4395,1991,5594,
sub-117,2793,4102,3121,3800,2135,2819,2766,4623,3280,5601,1970,3533,3322,6279,7480,8399,2020,6485,1645,2675,2659,4082,5002,3182,4426,3176,4032,5485,2003,3384,8679,13343,7017,5966,5394,1471,1725,9299,4499,3670,10752,2392,6152,6233,6134,10178,3583,3410,1833,5476,4476,5343,8239,5356,3028,3798,5084,4186,5448,2225,2862,2880,1313,3713,1842,7593,6348,2024,2023,5189,4052,6080,3469,3447,3265,6559,2590,4653,8949,15722,2809,3989,7150,4829,4130,4022,1801,4460,4321,3657,9609,4606,5478,3353,3843,7538,7882,3366,1743,4484,
sub-12,2638,3927,2972,4440,2865,2869,3760,5370,3943,5496,1856,3637,3695,5748,6965,8041,1882,5747,1242,2003,2221,4201,5147,3030,3503,2649,3638,4227,1597,3203,7205,11558,6189,3733,5322,1740,1398,7226,3291,2813,6682,2529,6077,5446,5831,8989,2700,2915,1876,4644,4530,4968,5989,6261,3850,3224,3308,5028,5511,2050,2536,2961,1504,3735,1838,5772,3690,2363,3639,4579,3412,5554,4909,2668,3329,5605,2034,4180,7557,13970,3064,2988,7171,3519,3644,4200,1468,3357,3582,3690,6561,3966,4238,2924,3253,6149,7378,4068,1790,3186,
sub-120,3599,4468,3884,3835,3032,3803,5077,5904,3677,5667,2136,4489,4491,6400,8320,12533,2898,7419,2508,3103,3156,5026,6506,3969,4663,3541,4498,5661,2541,3392,10330,13692,8537,5298,6076,1644,2242,9268,4645,4674,12194,3210,7895,7451,6703,9761,3744,4388,2230,6375,5916,6413,9528,6496,3676,4743,4319,4415,6615,2143,3278,3696,1664,5812,2645,6968,6297,3553,2501,5230,4246,6406,4944,4219,4162,7727,2646,5178,10639,17772,3634,4589,9027,4957,4545,4846,2749,4557,4377,5478,10464,5094,5848,4786,5195,8293,9072,5501,2012,4686,
sub-121,3571,4638,3231,5700,2935,3498,4961,6111,4342,6234,2348,5136,4411,8137,9598,10855,3447,6296,2251,3227,3792,5310,6275,5918,4800,3690,5081,6446,2840,4533,9486,15265,6387,5046,6301,2059,2794,10294,3720,3796,10684,3530,6801,7436,7968,11135,4349,3745,2638,6660,6018,6557,11493,7485,4105,4402,4602,5075,6261,2238,3347,3550,2054,5100,2644,8092,4956,3287,4059,6221,4773,6869,5784,4828,3993,7303,2884,6293,9813,17593,4407,4170,9401,4113,5038,5067,2482,5530,4806,5666,10148,5224,5271,3903,3486,8055,9945,4722,2182,4994,
sub-122,2299,4443,3465,4657,2847,2928,3752,5438,2645,4754,2072,3787,3584,6193,8329,8800,2499,6689,1966,2191,2702,3586,4992,3214,3920,2796,3862,4790,2134,3274,8069,11676,7385,5128,6294,1480,1795,8647,4334,3465,9197,2666,7378,6265,6227,10024,2427,3427,1789,4906,4642,6096,8544,6427,3120,3798,3689,4167,5261,2023,2823,2745,1417,4695,1349,7784,5623,2440,2946,5505,3287,6447,4400,3239,3528,5605,2515,5665,8296,15686,3370,3681,6837,3891,3850,3461,1717,4208,3688,3319,8913,3759,4992,3049,3814,6557,8219,3760,1943,3563,
sub-123,3612,4814,3604,5836,3100,2828,4761,6612,3545,7777,2503,5046,4265,7189,8056,10411,3104,6270,2693,2890,3027,5331,5392,4523,4779,3932,4806,6202,2553,3640,10300,15653,8048,5505,7391,2084,2195,11579,4608,4568,10427,3398,8009,7989,7776,11910,4242,4212,2101,5107,6194,6286,9905,7823,3484,4364,4733,5191,7012,2872,3704,3642,1838,5116,3781,7893,5587,3732,3297,5226,4499,7077,5265,4775,4401,7251,2732,5754,9176,20117,3326,5189,9694,6556,5184,3893,2189,5154,4113,4849,9749,5752,5594,4611,4708,8671,9894,3530,2346,3981,
sub-124,3378,5532,3524,4774,2687,3466,4021,6216,3732,5093,2072,4058,4237,6254,7984,10147,2813,6332,1551,2879,3298,4181,5633,3753,4264,3190,4941,5485,2168,3725,9173,14205,8141,3907,5751,2085,1909,10047,3799,3450,10972,2511,6809,7673,7641,11894,3583,4211,2134,5934,5248,6457,8463,6325,3701,5234,4431,4669,5797,2370,2828,2416,1423,3666,2049,6970,5639,2296,3188,5569,4018,5489,4990,4293,3492,6524,2483,5140,8845,17439,3547,4531,8462,5685,5256,4763,2138,4583,4365,4164,9668,4682,4939,3467,4032,8045,8809,4945,2339,4565,
sub-125,2813,3793,2905,5373,2662,2439,4404,5303,3707,4854,1870,3997,3860,7124,7216,10090,2870,5897,2296,2666,3379,4094,4647,2687,3658,2963,4455,5467,2295,3094,7596,12456,7645,3665,5464,1750,1939,7067,3483,3593,8325,2861,6594,6357,6011,9063,2522,3266,1789,5473,5241,5177,7794,5545,2792,3084,4558,3948,5177,2101,3098,3066,1777,5026,1760,6345,5049,2828,2881,5807,3642,5989,4393,3823,3191,5427,2438,4307,7580,15120,3947,3553,6999,5177,3644,2961,2022,4345,3890,4836,7785,5114,4873,3467,3606,6881,6930,3389,1841,4102,
sub-126,3332,4016,3351,4134,2682,2957,3552,5494,2871,4342,2106,3744,3392,5429,7952,7533,2666,6229,1330,2546,2232,4021,5167,2936,3158,3131,4204,4524,2076,3372,7647,13218,6535,5747,5566,1704,1277,6618,3715,3700,9603,2508,6346,5963,6817,10488,2625,3073,1548,4926,6160,4827,7344,6723,2925,3293,3799,3669,5072,2125,2837,2536,1476,4088,1899,6479,4385,2532,2680,4823,3539,5256,5423,3513,2967,5322,2247,5300,7994,15209,3176,3471,8175,2787,3696,3184,1461,4497,4004,4231,7314,3684,4668,3039,3344,6065,8124,3857,1548,3137,
sub-127,2405,3705,2938,4451,2164,3105,4091,5307,3017,4271,1889,3485,2972,5235,6217,6965,1918,5359,1489,1962,2186,3505,3961,2734,3235,2704,3738,3814,1749,2872,6902,11678,6130,3210,6620,1656,1256,7055,3613,3663,8856,2257,5557,5251,4962,8679,2159,2564,1712,3813,4063,5114,7048,6909,3381,3392,4576,3639,4594,1776,2151,2514,1362,3525,1851,5729,5575,2030,2409,4140,3249,5402,4274,2359,2714,5048,2130,4265,6749,13993,2487,3036,5930,3497,3012,3392,1657,3119,3257,2336,6417,3927,4175,2687,3220,5506,6806,3147,1655,3219,
sub-128,2786,3251,3405,3978,2671,3491,4467,5823,2662,5053,1917,4049,3780,6571,8157,9357,2099,5992,1585,2659,2865,4225,5007,3114,3923,2916,4776,5170,1982,3764,8727,12006,7942,3107,6382,1603,1957,8622,4084,3260,9252,2614,6441,7103,7010,10869,3188,3279,1611,4805,4361,5631,6976,6265,3353,3841,4433,3578,5700,2302,2830,2762,1426,4868,2059,6710,5862,3015,2725,5561,3755,5801,4808,3113,3332,5693,2619,5435,8818,14703,2473,4677,7610,4319,5047,4890,1770,4346,4412,3824,8612,5252,5188,2881,3773,7256,9574,5129,1696,3941,
sub-129,2948,4710,3915,4755,2625,2777,3156,5413,3392,5350,1966,3956,4184,6279,7586,9806,3052,6863,2172,2524,2806,4907,6223,3476,3628,2699,4035,4593,2075,3731,7934,12528,7170,4382,5834,2552,1730,7566,3873,3754,8696,2546,5910,5483,6242,9623,3052,3515,1768,5058,4556,5731,10323,7177,3495,3778,3949,4746,5267,1903,2398,2967,1900,5279,1772,8107,6282,2347,2096,4345,3570,5621,5758,3291,2606,5605,3330,4915,8593,16661,2646,3932,8349,3084,4639,4218,1468,3650,3805,3826,7740,4172,3962,3333,3928,6521,7783,4578,2021,3524,
sub-13,2988,3745,3019,4957,2852,2739,4843,6023,2709,4383,1778,3929,3905,5172,6494,8293,2731,5988,2148,2760,2242,4667,4013,2653,3617,3197,4030,5143,1918,3186,8525,14737,8522,5488,5822,1523,1712,9060,3904,3235,10935,2880,7161,6168,5654,9982,2968,3152,1562,5094,5145,5798,9325,6895,3151,3726,4409,3532,4747,2040,2451,3202,1360,3132,2140,6495,8552,2465,3384,4649,3377,6262,3953,2594,3402,6172,2923,4339,8670,17906,3170,5335,7697,3912,4686,3821,1280,3571,3916,4003,9839,4358,4122,4190,3947,7325,9367,3966,1495,3411,
sub-130,2865,4012,3814,3914,2328,3834,3708,5173,3648,5513,2089,4000,3582,6316,7535,8819,3226,6349,1853,2466,2639,4073,5386,3944,3985,3165,5105,5352,1936,3815,8568,15637,7549,5311,7275,1826,1689,7768,3685,3785,9949,2845,7798,7513,7596,10457,2790,3137,1823,5424,5455,5992,8343,6057,3850,4310,4745,4729,5607,2108,2856,3170,1272,4846,2238,7129,6955,2537,2912,5066,4148,5147,4133,3268,2961,6200,2512,5351,8950,17573,3099,4316,9784,5186,5947,4063,1940,5275,3852,3295,8246,4234,4673,3737,4182,8222,8931,4192,1751,3988,
sub-131,2868,3843,3778,4004,2511,4823,4411,5797,3442,4831,2172,4393,3404,5234,8910,9910,2228,5076,1437,1999,2119,3726,3858,2521,4116,3980,6728,5445,2267,2898,9107,13766,7400,3570,11156,1359,1061,7351,3562,3333,8401,3436,8877,7900,6899,13329,2439,4175,1637,3586,5794,6306,8914,5884,3811,4348,4831,4481,5982,2180,3010,3435,1663,4600,2218,6739,5629,3252,3150,6175,4342,5942,4264,3865,4576,6781,2980,4614,8559,18414,3041,4269,7104,4243,3920,3157,2104,4502,3847,3859,6920,4356,4450,3925,3864,6955,7964,3092,1877,3608,
sub-132,3315,4572,4840,4592,3014,4935,5224,7031,4381,6240,2039,4563,4000,6162,8022,10146,2395,5569,1639,2040,2940,5440,4350,3121,4567,3693,4716,5318,2051,3869,8999,13264,8161,3987,7073,2032,1883,9590,4680,3857,10949,3216,7552,7492,6511,11207,2800,2918,2532,5703,6528,7603,9652,7278,4519,5694,5970,5063,5998,2246,3009,3364,1852,4046,2174,6400,6716,3102,4311,5534,3847,5688,4360,3238,3608,7337,2649,5428,9918,16729,2832,3766,8499,4529,5068,4229,2239,4744,4285,3711,9206,5706,5223,3954,4335,7819,8475,4733,2465,4889,
sub-133,2975,4475,3202,4620,3042,2564,3997,5714,3215,5481,2411,4168,4075,6199,8597,10690,2516,6325,1689,2724,2726,3668,5724,3217,4283,3191,3460,4347,2134,4117,7877,10983,6511,4210,4822,1931,1512,8034,3453,3634,8856,2541,5778,6075,5780,9676,2065,2713,1976,5443,5468,6773,8978,7534,3267,4088,3658,4128,5535,2443,2979,3251,1470,3828,2210,7055,4460,3109,3491,4804,3790,5045,4204,3131,3419,6141,2665,4911,8437,15416,3076,3922,6424,3513,5068,4046,2116,4095,3916,3465,8338,4556,4623,3460,3202,6483,8055,4260,1885,4018,
sub-135,3077,5046,4510,3679,3503,5204,3971,5350,3783,4926,2150,4022,4029,6030,8606,10888,3306,6371,2144,2897,2693,4491,5402,3436,4726,3646,4399,5498,2119,4502,9529,17113,7982,5926,6400,1633,1934,7754,4184,3700,11275,2861,7352,7958,6619,11340,3558,3841,2688,6038,6414,6519,9677,7129,5100,5759,4756,4181,6225,2428,3192,2779,1564,4799,2442,6286,7685,2855,3410,6345,4262,6030,4465,3733,4521,7051,2353,4769,9910,15780,3705,4620,7714,5354,5612,4681,1956,4388,4375,4240,8168,5864,4781,4145,3991,7932,9685,4584,2437,5104,
sub-137,2938,3651,3936,4814,3292,4030,4888,6591,3402,3783,2054,3659,2752,6426,8760,11486,2486,7133,2296,3708,2916,4218,5355,4173,4278,4235,3643,5246,2472,3771,9561,14588,10143,5856,7643,2258,1843,10958,4309,3858,11997,2957,8627,7700,7343,10341,3229,3201,1996,6758,5158,5989,10177,6304,4497,4447,4373,4857,6087,2444,3395,1978,1210,4765,2027,7061,5572,3694,4881,6207,3337,6373,4936,3938,4966,7324,3035,5749,10631,17031,3395,5000,8415,4820,4972,4693,2098,4582,4612,4363,12101,6070,6653,4132,3405,7524,8959,5410,2034,4652,
sub-138,3006,4470,4023,5030,2986,4406,5148,5926,3352,5877,2081,3892,3771,6668,7767,10571,2783,5748,2066,2711,3306,4325,5426,3067,4204,3598,4201,4779,2356,3953,9634,13193,6534,3778,6052,1805,2090,8052,3584,3487,9743,2992,7292,6844,7413,11608,2525,3652,2215,5696,4680,5479,8710,6517,4174,5121,3548,4115,6369,1927,2668,3218,1580,4647,2815,7628,6239,2601,4315,4972,3777,5653,5095,4031,2775,6962,3069,5773,9209,15140,3485,3666,8101,4089,4908,3858,1796,4142,4309,5196,8659,5225,5352,4046,4416,6514,9622,5149,2008,3965,
sub-14,3650,5423,4057,4603,3204,3022,5013,5261,3649,5999,2172,4752,4482,7486,7867,10895,2708,6838,2045,2687,2990,5175,5385,4291,4492,3268,3947,5723,2240,3507,9578,15064,7826,3932,6166,2071,2330,9449,4346,4313,10106,3012,6751,6430,6599,9973,3638,3389,1919,5313,6013,7138,8208,6578,4022,4108,3836,4713,6380,2285,3266,3143,1379,4534,2757,8279,6203,2989,2444,6456,4973,5811,4271,3849,3781,7024,2796,5309,8885,19992,2578,4657,8254,4105,5656,4893,2038,3922,4375,5387,8297,5232,5560,4081,4123,7448,9479,5152,2047,4277,
sub-15,4352,5219,4286,6667,3832,3778,4441,7460,4853,5850,2369,4293,4031,6893,8153,12032,2409,7137,2440,3009,3244,4869,4584,3526,5028,3854,6057,5742,2495,3687,10271,19537,7968,5059,9847,2228,2036,9724,4500,4085,11870,3720,10291,8964,8192,12282,3021,3609,2461,6351,6820,8070,11668,9374,4009,4891,5001,5446,6665,2769,3349,2995,1545,5333,2599,7220,5537,3441,4012,4986,4785,6937,4621,4568,4686,8823,2811,5517,10113,21946,4061,3685,9762,6530,5300,4673,2143,5193,4835,4113,10564,5612,5147,4756,5782,9280,11008,5550,2431,5222,
