SubjID,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
sub-036,0.017,0.037,0.037,0.038,0.044,0.038,0.024,0.03,0.03,0.03,0.028,0.027,0.02,0.021,0.026,0.029,0.043,0.021,0.019,0.028,0.023,0.016,0.018,0.025,0.021,0.021,0.027,0.027,0.022,0.02,0.034,0.034,0.023,0.028,0.026,0.027,0.03,0.025,0.016,0.028,0.037,0.024,0.027,0.025,0.033,0.027,0.024,0.022,0.027,0.032,0.022,0.035,0.029,0.039,0.041,0.035,0.026,0.03,0.026,0.027,0.039,0.035,0.023,0.027,0.016,0.024,0.027,0.021,0.019,0.021,0.028,0.031,0.017,0.026,0.027,0.027,0.03,0.023,0.034,0.031,0.034,0.039,0.031,0.023,0.027,0.028,0.03,0.024,0.025,0.025,0.035,0.018,0.029,0.027,0.029,0.026,0.026,0.023,0.027,0.028,
sub-038,0.024,0.03,0.036,0.032,0.044,0.036,0.028,0.027,0.026,0.023,0.028,0.027,0.023,0.028,0.029,0.029,0.027,0.022,0.021,0.025,0.026,0.024,0.019,0.044,0.025,0.018,0.027,0.026,0.018,0.036,0.032,0.026,0.023,0.022,0.028,0.02,0.03,0.022,0.019,0.031,0.03,0.026,0.029,0.033,0.035,0.027,0.02,0.021,0.032,0.032,0.024,0.03,0.028,0.037,0.039,0.034,0.03,0.028,0.022,0.026,0.024,0.031,0.035,0.041,0.02,0.038,0.028,0.021,0.019,0.023,0.025,0.025,0.021,0.025,0.026,0.023,0.022,0.032,0.032,0.031,0.027,0.028,0.036,0.03,0.03,0.025,0.033,0.023,0.025,0.023,0.027,0.02,0.015,0.025,0.027,0.03,0.028,0.016,0.029,0.03,
sub-039,0.02,0.031,0.035,0.03,0.038,0.031,0.024,0.023,0.026,0.023,0.026,0.028,0.024,0.028,0.023,0.026,0.021,0.021,0.017,0.036,0.029,0.023,0.018,0.03,0.022,0.017,0.028,0.022,0.018,0.022,0.031,0.028,0.027,0.021,0.028,0.019,0.026,0.025,0.017,0.023,0.021,0.024,0.025,0.033,0.03,0.025,0.02,0.021,0.032,0.027,0.02,0.027,0.025,0.035,0.044,0.029,0.02,0.028,0.025,0.029,0.029,0.036,0.019,0.027,0.018,0.023,0.024,0.03,0.018,0.019,0.026,0.024,0.019,0.031,0.039,0.023,0.031,0.02,0.029,0.03,0.049,0.022,0.036,0.028,0.03,0.024,0.025,0.021,0.027,0.03,0.034,0.015,0.021,0.025,0.025,0.029,0.03,0.024,0.027,0.027,
sub-04,0.026,0.034,0.037,0.035,0.039,0.03,0.02,0.028,0.036,0.018,0.023,0.025,0.024,0.03,0.027,0.032,0.022,0.023,0.017,0.03,0.024,0.018,0.016,0.024,0.023,0.025,0.026,0.029,0.014,0.026,0.03,0.033,0.031,0.025,0.025,0.033,0.03,0.023,0.017,0.022,0.021,0.03,0.029,0.029,0.035,0.029,0.025,0.023,0.025,0.031,0.023,0.032,0.029,0.035,0.034,0.029,0.027,0.032,0.019,0.027,0.027,0.019,0.019,0.023,0.023,0.026,0.022,0.021,0.023,0.025,0.026,0.021,0.016,0.023,0.021,0.022,0.017,0.031,0.03,0.031,0.026,0.025,0.033,0.027,0.032,0.029,0.029,0.023,0.026,0.023,0.025,0.018,0.014,0.025,0.029,0.028,0.026,0.023,0.024,0.029,
sub-040,0.018,0.031,0.034,0.04,0.04,0.035,0.03,0.027,0.034,0.028,0.03,0.027,0.025,0.032,0.028,0.029,0.038,0.025,0.022,0.032,0.022,0.022,0.022,0.037,0.021,0.023,0.026,0.02,0.019,0.035,0.03,0.04,0.024,0.021,0.026,0.023,0.026,0.022,0.024,0.024,0.024,0.025,0.031,0.026,0.032,0.026,0.025,0.023,0.028,0.026,0.026,0.032,0.03,0.04,0.037,0.031,0.029,0.035,0.021,0.026,0.025,0.024,0.029,0.038,0.018,0.032,0.025,0.024,0.02,0.02,0.025,0.023,0.023,0.036,0.031,0.027,0.019,0.026,0.032,0.036,0.031,0.025,0.032,0.025,0.025,0.024,0.03,0.018,0.025,0.028,0.024,0.017,0.022,0.029,0.033,0.028,0.028,0.021,0.02,0.028,
sub-042,0.032,0.031,0.043,0.04,0.045,0.037,0.036,0.034,0.031,0.027,0.026,0.029,0.025,0.028,0.033,0.037,0.038,0.024,0.019,0.035,0.023,0.026,0.02,0.057,0.025,0.023,0.033,0.024,0.021,0.026,0.035,0.034,0.025,0.026,0.029,0.022,0.029,0.027,0.039,0.033,0.036,0.029,0.029,0.035,0.044,0.029,0.021,0.019,0.032,0.04,0.03,0.033,0.03,0.04,0.046,0.032,0.031,0.029,0.026,0.028,0.025,0.036,0.023,0.036,0.02,0.027,0.028,0.029,0.018,0.026,0.028,0.029,0.026,0.033,0.047,0.024,0.022,0.027,0.031,0.036,0.034,0.023,0.041,0.036,0.029,0.028,0.037,0.024,0.03,0.039,0.03,0.021,0.026,0.03,0.037,0.032,0.029,0.024,0.022,0.049,
sub-043,0.019,0.032,0.033,0.028,0.046,0.03,0.031,0.031,0.032,0.026,0.029,0.025,0.022,0.025,0.033,0.025,0.022,0.02,0.026,0.023,0.024,0.022,0.023,0.037,0.031,0.023,0.032,0.025,0.015,0.025,0.031,0.038,0.032,0.025,0.028,0.028,0.046,0.021,0.023,0.029,0.033,0.028,0.031,0.037,0.035,0.033,0.025,0.021,0.026,0.03,0.022,0.029,0.026,0.032,0.036,0.031,0.02,0.034,0.024,0.026,0.026,0.027,0.018,0.027,0.025,0.031,0.023,0.023,0.021,0.023,0.028,0.023,0.018,0.031,0.023,0.027,0.018,0.026,0.03,0.034,0.029,0.033,0.04,0.035,0.028,0.027,0.043,0.026,0.029,0.027,0.032,0.02,0.024,0.028,0.031,0.036,0.031,0.024,0.024,0.035,
sub-045,0.031,0.028,0.034,0.031,0.043,0.028,0.032,0.023,0.031,0.019,0.024,0.024,0.018,0.02,0.019,0.027,0.02,0.016,0.022,0.024,0.021,0.019,0.017,0.017,0.026,0.019,0.022,0.019,0.015,0.021,0.03,0.04,0.022,0.019,0.02,0.032,0.024,0.021,0.02,0.025,0.023,0.027,0.025,0.024,0.031,0.028,0.02,0.023,0.025,0.035,0.024,0.03,0.026,0.032,0.034,0.025,0.023,0.031,0.02,0.025,0.025,0.019,0.017,0.021,0.019,0.021,0.022,0.02,0.025,0.017,0.025,0.015,0.02,0.025,0.021,0.025,0.017,0.022,0.032,0.037,0.025,0.032,0.027,0.019,0.024,0.021,0.026,0.024,0.019,0.027,0.026,0.012,0.021,0.024,0.022,0.028,0.027,0.023,0.024,0.032,
sub-047,0.028,0.034,0.036,0.031,0.042,0.032,0.034,0.028,0.032,0.022,0.024,0.024,0.029,0.035,0.03,0.027,0.021,0.026,0.018,0.028,0.028,0.018,0.018,0.041,0.031,0.021,0.028,0.021,0.018,0.027,0.031,0.032,0.024,0.022,0.025,0.016,0.031,0.026,0.028,0.024,0.027,0.028,0.035,0.026,0.037,0.027,0.029,0.023,0.029,0.034,0.022,0.032,0.026,0.037,0.038,0.031,0.024,0.031,0.021,0.022,0.024,0.03,0.02,0.032,0.021,0.03,0.025,0.026,0.024,0.018,0.022,0.022,0.017,0.034,0.032,0.03,0.016,0.022,0.031,0.029,0.051,0.038,0.028,0.027,0.029,0.022,0.03,0.023,0.025,0.035,0.026,0.019,0.02,0.029,0.025,0.026,0.025,0.019,0.028,0.035,
sub-048,0.017,0.026,0.035,0.035,0.04,0.037,0.025,0.031,0.029,0.025,0.035,0.024,0.024,0.031,0.027,0.027,0.028,0.02,0.018,0.035,0.017,0.024,0.021,0.05,0.026,0.02,0.032,0.02,0.017,0.026,0.036,0.033,0.03,0.031,0.024,0.019,0.032,0.023,0.021,0.033,0.028,0.025,0.03,0.031,0.033,0.027,0.025,0.02,0.029,0.038,0.021,0.031,0.028,0.038,0.039,0.039,0.029,0.031,0.024,0.032,0.026,0.026,0.026,0.028,0.017,0.03,0.023,0.03,0.029,0.019,0.026,0.027,0.018,0.025,0.032,0.027,0.021,0.028,0.033,0.035,0.03,0.027,0.032,0.028,0.028,0.028,0.03,0.023,0.032,0.022,0.035,0.017,0.019,0.029,0.035,0.03,0.029,0.026,0.027,0.035,
sub-049,0.02,0.035,0.038,0.033,0.044,0.033,0.023,0.027,0.032,0.023,0.028,0.026,0.023,0.026,0.031,0.028,0.023,0.021,0.016,0.031,0.024,0.021,0.017,0.032,0.021,0.021,0.028,0.028,0.02,0.022,0.036,0.034,0.022,0.027,0.033,0.022,0.035,0.022,0.02,0.038,0.036,0.029,0.032,0.03,0.037,0.027,0.022,0.025,0.026,0.033,0.019,0.03,0.031,0.039,0.037,0.042,0.028,0.033,0.026,0.03,0.031,0.026,0.024,0.026,0.019,0.032,0.029,0.022,0.024,0.024,0.025,0.021,0.021,0.023,0.034,0.027,0.021,0.023,0.031,0.039,0.025,0.026,0.037,0.027,0.027,0.025,0.032,0.021,0.026,0.03,0.025,0.019,0.023,0.032,0.025,0.028,0.03,0.024,0.032,0.031,
sub-050,0.023,0.035,0.032,0.035,0.042,0.03,0.026,0.024,0.033,0.026,0.028,0.027,0.024,0.028,0.03,0.026,0.026,0.017,0.02,0.022,0.022,0.02,0.021,0.041,0.023,0.023,0.033,0.026,0.02,0.026,0.035,0.036,0.025,0.026,0.024,0.019,0.031,0.023,0.025,0.036,0.028,0.021,0.027,0.034,0.037,0.028,0.023,0.021,0.03,0.024,0.032,0.036,0.027,0.038,0.038,0.032,0.024,0.03,0.022,0.026,0.028,0.021,0.03,0.032,0.016,0.03,0.028,0.019,0.019,0.021,0.028,0.02,0.021,0.024,0.026,0.029,0.02,0.027,0.036,0.04,0.036,0.027,0.035,0.023,0.027,0.027,0.027,0.026,0.024,0.02,0.03,0.021,0.02,0.031,0.032,0.03,0.029,0.024,0.028,0.034,
sub-051,0.021,0.033,0.032,0.036,0.048,0.03,0.022,0.025,0.026,0.024,0.028,0.025,0.026,0.021,0.02,0.023,0.023,0.018,0.014,0.021,0.022,0.017,0.018,0.024,0.027,0.019,0.029,0.024,0.022,0.03,0.033,0.036,0.031,0.027,0.025,0.021,0.034,0.025,0.023,0.021,0.027,0.024,0.031,0.032,0.034,0.027,0.016,0.024,0.028,0.03,0.022,0.03,0.026,0.039,0.037,0.031,0.025,0.027,0.025,0.032,0.023,0.023,0.019,0.021,0.017,0.029,0.025,0.022,0.021,0.021,0.022,0.021,0.02,0.026,0.026,0.024,0.019,0.024,0.034,0.035,0.024,0.027,0.032,0.023,0.028,0.02,0.03,0.026,0.024,0.024,0.027,0.022,0.019,0.026,0.03,0.026,0.027,0.021,0.025,0.03,
sub-06,0.019,0.027,0.033,0.033,0.043,0.03,0.022,0.027,0.032,0.023,0.027,0.029,0.027,0.025,0.027,0.03,0.025,0.021,0.023,0.024,0.023,0.018,0.021,0.033,0.026,0.021,0.027,0.03,0.019,0.027,0.031,0.031,0.032,0.02,0.026,0.018,0.028,0.024,0.032,0.027,0.023,0.022,0.027,0.025,0.035,0.029,0.021,0.021,0.03,0.031,0.02,0.03,0.032,0.036,0.039,0.034,0.026,0.026,0.015,0.027,0.023,0.022,0.02,0.025,0.016,0.027,0.026,0.02,0.019,0.019,0.026,0.019,0.018,0.021,0.028,0.028,0.02,0.027,0.029,0.032,0.041,0.027,0.03,0.027,0.029,0.022,0.03,0.023,0.022,0.033,0.024,0.018,0.022,0.027,0.027,0.032,0.027,0.019,0.023,0.026,
sub-07,0.029,0.033,0.029,0.037,0.04,0.033,0.024,0.027,0.028,0.023,0.03,0.028,0.023,0.026,0.023,0.025,0.029,0.024,0.017,0.029,0.025,0.021,0.021,0.048,0.023,0.022,0.025,0.02,0.02,0.027,0.03,0.028,0.028,0.025,0.025,0.018,0.032,0.02,0.019,0.036,0.031,0.027,0.029,0.029,0.037,0.028,0.024,0.023,0.029,0.028,0.026,0.028,0.024,0.031,0.037,0.028,0.02,0.03,0.021,0.027,0.024,0.029,0.019,0.024,0.017,0.024,0.026,0.019,0.02,0.02,0.027,0.027,0.02,0.032,0.033,0.023,0.02,0.023,0.036,0.031,0.026,0.026,0.035,0.022,0.023,0.023,0.028,0.024,0.029,0.023,0.032,0.015,0.023,0.028,0.027,0.031,0.028,0.021,0.028,0.026,
sub-101,0.024,0.03,0.037,0.044,0.044,0.031,0.029,0.028,0.034,0.027,0.025,0.026,0.026,0.019,0.023,0.028,0.023,0.02,0.017,0.025,0.02,0.021,0.016,0.039,0.022,0.018,0.026,0.023,0.02,0.023,0.041,0.03,0.033,0.025,0.026,0.022,0.027,0.021,0.037,0.025,0.025,0.025,0.031,0.031,0.031,0.027,0.019,0.017,0.029,0.028,0.031,0.038,0.031,0.045,0.043,0.028,0.027,0.035,0.022,0.026,0.029,0.03,0.014,0.025,0.02,0.019,0.033,0.023,0.02,0.019,0.023,0.023,0.019,0.026,0.027,0.022,0.022,0.024,0.04,0.035,0.027,0.027,0.034,0.032,0.028,0.021,0.031,0.022,0.019,0.021,0.025,0.015,0.023,0.022,0.025,0.034,0.027,0.022,0.033,0.029,
sub-102,0.019,0.031,0.04,0.036,0.052,0.031,0.026,0.025,0.028,0.03,0.025,0.028,0.038,0.024,0.03,0.03,0.031,0.024,0.019,0.03,0.025,0.019,0.016,0.037,0.024,0.02,0.025,0.021,0.017,0.022,0.035,0.035,0.037,0.023,0.024,0.023,0.028,0.033,0.035,0.056,0.025,0.02,0.025,0.026,0.034,0.025,0.022,0.019,0.022,0.026,0.022,0.028,0.027,0.041,0.042,0.031,0.032,0.031,0.027,0.027,0.024,0.028,0.022,0.029,0.021,0.021,0.028,0.03,0.019,0.02,0.028,0.021,0.018,0.023,0.04,0.025,0.036,0.023,0.032,0.037,0.045,0.025,0.034,0.022,0.028,0.026,0.031,0.023,0.022,0.04,0.028,0.022,0.027,0.025,0.032,0.03,0.028,0.02,0.03,0.027,
sub-103,0.032,0.035,0.035,0.035,0.043,0.035,0.029,0.024,0.03,0.03,0.025,0.033,0.025,0.025,0.026,0.027,0.028,0.024,0.026,0.027,0.026,0.017,0.018,0.028,0.029,0.023,0.034,0.021,0.022,0.025,0.034,0.033,0.045,0.024,0.023,0.034,0.028,0.025,0.031,0.03,0.025,0.027,0.034,0.027,0.039,0.03,0.025,0.026,0.026,0.033,0.027,0.027,0.028,0.037,0.037,0.031,0.027,0.03,0.029,0.027,0.033,0.028,0.02,0.025,0.023,0.027,0.027,0.025,0.027,0.021,0.026,0.022,0.018,0.033,0.035,0.024,0.025,0.023,0.036,0.036,0.029,0.033,0.043,0.027,0.03,0.025,0.036,0.023,0.026,0.026,0.029,0.027,0.022,0.031,0.03,0.029,0.029,0.025,0.025,0.031,
sub-104,0.023,0.033,0.041,0.039,0.045,0.035,0.026,0.024,0.032,0.028,0.031,0.025,0.03,0.027,0.022,0.027,0.022,0.021,0.014,0.03,0.02,0.018,0.017,0.027,0.025,0.019,0.023,0.022,0.013,0.023,0.036,0.042,0.025,0.02,0.021,0.025,0.026,0.02,0.021,0.029,0.027,0.025,0.024,0.026,0.027,0.023,0.024,0.024,0.028,0.032,0.026,0.03,0.024,0.035,0.031,0.03,0.026,0.035,0.024,0.027,0.028,0.023,0.014,0.02,0.01,0.025,0.024,0.028,0.02,0.022,0.025,0.021,0.015,0.025,0.026,0.025,0.018,0.022,0.028,0.036,0.039,0.026,0.03,0.026,0.02,0.02,0.023,0.018,0.024,0.021,0.03,0.021,0.018,0.028,0.025,0.027,0.022,0.018,0.026,0.028,
sub-105,0.026,0.033,0.036,0.037,0.04,0.036,0.031,0.03,0.039,0.03,0.027,0.03,0.022,0.029,0.032,0.025,0.025,0.02,0.021,0.025,0.022,0.018,0.019,0.042,0.029,0.023,0.028,0.025,0.015,0.028,0.034,0.032,0.029,0.026,0.028,0.035,0.03,0.03,0.028,0.033,0.029,0.029,0.029,0.031,0.034,0.034,0.026,0.023,0.026,0.032,0.025,0.033,0.031,0.042,0.04,0.032,0.029,0.041,0.027,0.032,0.038,0.031,0.03,0.033,0.018,0.028,0.026,0.028,0.031,0.023,0.023,0.031,0.022,0.027,0.043,0.03,0.023,0.024,0.038,0.036,0.04,0.026,0.035,0.026,0.028,0.024,0.032,0.026,0.025,0.032,0.03,0.02,0.023,0.029,0.03,0.031,0.032,0.027,0.03,0.028,
sub-112,0.022,0.031,0.034,0.037,0.043,0.039,0.028,0.027,0.031,0.026,0.025,0.033,0.038,0.026,0.025,0.036,0.037,0.023,0.023,0.028,0.022,0.021,0.019,0.029,0.023,0.021,0.027,0.021,0.021,0.022,0.032,0.036,0.032,0.028,0.026,0.027,0.035,0.03,0.03,0.026,0.029,0.022,0.028,0.033,0.036,0.027,0.021,0.023,0.037,0.033,0.034,0.031,0.031,0.043,0.043,0.037,0.029,0.031,0.026,0.027,0.03,0.033,0.028,0.027,0.016,0.029,0.033,0.021,0.022,0.024,0.026,0.022,0.021,0.028,0.045,0.024,0.025,0.025,0.038,0.033,0.058,0.032,0.033,0.028,0.029,0.023,0.037,0.026,0.026,0.029,0.022,0.025,0.024,0.03,0.03,0.034,0.029,0.024,0.037,0.047,
sub-113,0.023,0.034,0.036,0.037,0.038,0.035,0.027,0.027,0.032,0.036,0.031,0.041,0.029,0.039,0.038,0.021,0.028,0.024,0.02,0.036,0.03,0.024,0.031,0.039,0.024,0.027,0.031,0.021,0.021,0.039,0.036,0.044,0.029,0.034,0.033,0.023,0.032,0.023,0.033,0.033,0.032,0.03,0.03,0.032,0.038,0.029,0.031,0.033,0.025,0.03,0.021,0.026,0.029,0.035,0.041,0.033,0.024,0.035,0.025,0.031,0.028,0.036,0.03,0.042,0.018,0.037,0.028,0.018,0.023,0.022,0.031,0.028,0.028,0.03,0.031,0.027,0.021,0.037,0.034,0.034,0.039,0.03,0.034,0.025,0.027,0.028,0.037,0.042,0.028,0.032,0.024,0.017,0.017,0.027,0.032,0.035,0.036,0.024,0.024,0.025,
sub-114,0.02,0.032,0.039,0.044,0.044,0.031,0.024,0.031,0.035,0.02,0.024,0.027,0.025,0.026,0.028,0.028,0.03,0.024,0.018,0.027,0.023,0.02,0.021,0.028,0.028,0.023,0.027,0.021,0.016,0.026,0.032,0.038,0.031,0.024,0.03,0.022,0.027,0.022,0.02,0.024,0.028,0.023,0.03,0.026,0.04,0.027,0.023,0.02,0.03,0.027,0.028,0.029,0.028,0.039,0.047,0.037,0.023,0.031,0.023,0.027,0.026,0.024,0.026,0.029,0.022,0.034,0.027,0.025,0.019,0.022,0.021,0.019,0.019,0.046,0.034,0.024,0.016,0.028,0.029,0.034,0.043,0.028,0.037,0.029,0.024,0.022,0.031,0.022,0.025,0.037,0.03,0.018,0.019,0.031,0.028,0.031,0.027,0.019,0.026,0.034,
sub-115,0.028,0.03,0.037,0.035,0.046,0.041,0.042,0.029,0.034,0.024,0.029,0.031,0.028,0.024,0.021,0.029,0.023,0.027,0.023,0.031,0.033,0.023,0.016,0.052,0.028,0.021,0.025,0.024,0.023,0.02,0.037,0.046,0.028,0.026,0.023,0.022,0.031,0.029,0.021,0.033,0.043,0.026,0.031,0.031,0.036,0.026,0.018,0.019,0.028,0.033,0.029,0.028,0.03,0.034,0.037,0.034,0.026,0.028,0.028,0.027,0.034,0.038,0.026,0.027,0.029,0.023,0.025,0.029,0.028,0.024,0.025,0.023,0.016,0.035,0.025,0.026,0.022,0.02,0.033,0.038,0.054,0.028,0.037,0.026,0.027,0.022,0.027,0.02,0.027,0.042,0.042,0.024,0.023,0.034,0.028,0.028,0.027,0.025,0.026,0.033,
sub-116,0.02,0.031,0.036,0.031,0.046,0.035,0.027,0.027,0.026,0.02,0.024,0.023,0.02,0.019,0.028,0.027,0.03,0.02,0.019,0.03,0.019,0.018,0.017,0.03,0.025,0.019,0.028,0.021,0.014,0.021,0.036,0.03,0.022,0.023,0.026,0.019,0.024,0.024,0.018,0.035,0.042,0.021,0.026,0.029,0.033,0.028,0.018,0.016,0.023,0.028,0.021,0.027,0.025,0.036,0.037,0.033,0.025,0.027,0.025,0.025,0.027,0.037,0.02,0.021,0.018,0.023,0.032,0.015,0.025,0.02,0.024,0.028,0.018,0.023,0.02,0.023,0.018,0.019,0.031,0.032,0.019,0.027,0.027,0.03,0.027,0.025,0.027,0.021,0.024,0.024,0.026,0.023,0.019,0.024,0.026,0.032,0.026,0.023,0.021,0.022,
sub-117,0.02,0.031,0.031,0.037,0.041,0.029,0.032,0.026,0.03,0.031,0.03,0.037,0.028,0.024,0.026,0.037,0.026,0.02,0.024,0.027,0.023,0.025,0.023,0.036,0.027,0.026,0.029,0.021,0.02,0.025,0.035,0.04,0.034,0.023,0.032,0.021,0.037,0.029,0.024,0.028,0.033,0.023,0.033,0.033,0.037,0.029,0.022,0.027,0.032,0.033,0.019,0.026,0.031,0.036,0.038,0.032,0.025,0.032,0.019,0.028,0.031,0.028,0.026,0.019,0.021,0.024,0.025,0.022,0.023,0.023,0.025,0.025,0.019,0.046,0.031,0.024,0.021,0.029,0.04,0.036,0.035,0.038,0.036,0.026,0.029,0.025,0.038,0.027,0.029,0.057,0.03,0.017,0.02,0.028,0.029,0.035,0.031,0.025,0.03,0.032,
sub-12,0.02,0.027,0.033,0.027,0.042,0.034,0.034,0.026,0.028,0.023,0.024,0.023,0.019,0.02,0.027,0.026,0.02,0.019,0.019,0.034,0.023,0.018,0.02,0.029,0.024,0.022,0.029,0.023,0.01,0.043,0.033,0.03,0.025,0.021,0.026,0.023,0.024,0.02,0.017,0.045,0.034,0.027,0.028,0.029,0.038,0.03,0.021,0.02,0.022,0.026,0.023,0.029,0.023,0.03,0.042,0.026,0.028,0.028,0.02,0.025,0.025,0.022,0.026,0.024,0.013,0.023,0.029,0.022,0.026,0.02,0.025,0.021,0.019,0.024,0.021,0.026,0.016,0.022,0.03,0.032,0.023,0.033,0.032,0.028,0.024,0.021,0.029,0.024,0.021,0.03,0.021,0.014,0.015,0.029,0.028,0.031,0.028,0.023,0.021,0.027,
sub-120,0.019,0.025,0.03,0.039,0.04,0.036,0.026,0.027,0.032,0.023,0.027,0.027,0.024,0.025,0.03,0.026,0.018,0.021,0.017,0.022,0.021,0.019,0.021,0.035,0.026,0.022,0.027,0.024,0.02,0.034,0.035,0.035,0.036,0.025,0.023,0.021,0.032,0.028,0.023,0.037,0.025,0.024,0.035,0.03,0.036,0.03,0.021,0.026,0.029,0.031,0.025,0.029,0.027,0.036,0.032,0.031,0.025,0.027,0.018,0.028,0.022,0.029,0.028,0.028,0.022,0.031,0.024,0.014,0.022,0.021,0.021,0.023,0.02,0.021,0.033,0.024,0.019,0.026,0.036,0.037,0.044,0.022,0.038,0.03,0.025,0.024,0.034,0.022,0.029,0.02,0.025,0.021,0.018,0.028,0.026,0.031,0.026,0.02,0.029,0.034,
sub-121,0.036,0.039,0.036,0.039,0.044,0.04,0.027,0.028,0.036,0.028,0.03,0.028,0.021,0.02,0.025,0.031,0.025,0.021,0.018,0.025,0.016,0.02,0.018,0.032,0.027,0.023,0.027,0.02,0.017,0.03,0.041,0.037,0.044,0.027,0.023,0.026,0.032,0.027,0.03,0.041,0.03,0.031,0.029,0.026,0.034,0.03,0.026,0.025,0.028,0.031,0.026,0.031,0.027,0.038,0.041,0.03,0.027,0.03,0.028,0.028,0.027,0.034,0.019,0.027,0.015,0.025,0.022,0.02,0.022,0.02,0.022,0.022,0.015,0.035,0.033,0.028,0.025,0.019,0.041,0.04,0.057,0.02,0.039,0.032,0.035,0.022,0.034,0.022,0.03,0.027,0.026,0.021,0.018,0.033,0.031,0.032,0.03,0.023,0.026,0.034,
sub-122,0.021,0.037,0.039,0.038,0.036,0.037,0.029,0.028,0.03,0.026,0.03,0.026,0.031,0.026,0.026,0.032,0.026,0.022,0.02,0.034,0.026,0.022,0.021,0.038,0.03,0.025,0.029,0.023,0.019,0.021,0.04,0.034,0.035,0.022,0.03,0.027,0.037,0.024,0.024,0.025,0.028,0.031,0.035,0.031,0.052,0.03,0.026,0.023,0.032,0.034,0.026,0.033,0.028,0.038,0.036,0.039,0.025,0.029,0.024,0.027,0.027,0.021,0.024,0.025,0.02,0.028,0.027,0.019,0.021,0.025,0.027,0.027,0.023,0.026,0.025,0.031,0.022,0.034,0.043,0.039,0.034,0.026,0.043,0.033,0.035,0.025,0.044,0.03,0.031,0.031,0.034,0.023,0.023,0.035,0.031,0.035,0.03,0.021,0.027,0.04,
